owner_id,owner_name,suffix,section7_id,name
0,MPLC000_Luffy,0,2048,806_000_costume_luffy
0,MPLC000_Luffy,1,2049,806_001_costume_luffy_alabasta
0,MPLC000_Luffy,2,2050,806_002_costume_luffy_enies_lobby
0,MPLC000_Luffy,3,2051,806_003_costume_luffy_sabaody
0,MPLC000_Luffy,4,2052,806_004_costume_luffy_impel_down
0,MPLC000_Luffy,5,2053,806_005_costume_luffy_marineford_late
0,MPLC000_Luffy,6,2054,806_006_costume_luffy_nw
0,MPLC000_Luffy,7,2055,806_007_costume_luffy_dressrosa
0,MPLC000_Luffy,8,2056,806_008_costume_luffy_wholecakeisland
0,MPLC000_Luffy,9,2057,806_009_costume_luffy_lucy
0,MPLC000_Luffy,91,2139,806_091_costume_luffy_boundman
0,MPLC000_Luffy,92,2140,806_092_costume_luffy_snakeman
0,MPLC000_Luffy,99,2147,806_099_costume_luffy_thrillerbark
0,MPLC000_Luffy,107,2155,806_107_costume_luffy_wa
1,MPLC001_Zoro,10,2058,806_010_costume_zoro
1,MPLC001_Zoro,11,2059,806_011_costume_zoro_alabasta
1,MPLC001_Zoro,12,2060,806_012_costume_zoro_garb
1,MPLC001_Zoro,13,2061,806_013_costume_zoro_sabaody
1,MPLC001_Zoro,14,2062,806_014_costume_zoro_nw
1,MPLC001_Zoro,108,2156,806_108_costume_zoro_wa
2,MPLC002_Nami,15,2063,806_015_costume_nami
2,MPLC002_Nami,16,2064,806_016_costume_nami_alabasta
2,MPLC002_Nami,17,2065,806_017_costume_nami_w7
2,MPLC002_Nami,18,2066,806_018_costume_nami_nw
2,MPLC002_Nami,110,2158,806_110_costume_nami_wa
3,MPLC003_Usopp,19,2067,806_019_costume_usopp
3,MPLC003_Usopp,20,2068,806_020_costume_usopp_garb
3,MPLC003_Usopp,21,2069,806_021_costume_usopp_enies_lobby
3,MPLC003_Usopp,22,2070,806_022_costume_usopp_nw
4,MPLC004_Sanji,23,2071,806_023_costume_sanji
4,MPLC004_Sanji,24,2072,806_024_costume_sanji_mr_prince
4,MPLC004_Sanji,25,2073,806_025_costume_sanji_nw
4,MPLC004_Sanji,26,2074,806_026_costume_sanji_groom
4,MPLC004_Sanji,109,2157,806_109_costume_sanji_osoba
5,MPLC005_Chopper,27,2075,806_027_costume_chopper
5,MPLC005_Chopper,28,2076,806_028_costume_chopper_alabasta
5,MPLC005_Chopper,29,2077,806_029_costume_chopper_nw
6,MPLC006_Robin,30,2078,806_030_costume_robin
6,MPLC006_Robin,31,2079,806_031_costume_robin_nw
6,MPLC006_Robin,32,2080,806_032_costume_robin_all_sunday
7,MPLC007_Franky,33,2081,806_033_costume_franky
7,MPLC007_Franky,34,2082,806_034_costume_franky_garb
7,MPLC007_Franky,35,2083,806_035_costume_franky_nw
8,MPLC008_Brook,36,2084,806_036_costume_brook
8,MPLC008_Brook,37,2085,806_037_costume_brook_nw
9,MPLC009_Ace,38,2086,806_038_costume_ace
9,MPLC009_Ace,39,2087,806_039_costume_ace_not_prisoner
9,MPLC009_Ace,40,2088,806_040_costume_ace_marineford_late
10,MPLC010_Hancock,41,2089,806_041_costume_hancock
10,MPLC010_Hancock,112,2160,806_112_costume_hancock_ougenki
11,MPLC011_Jimbei,42,2090,806_042_costume_jimbei
11,MPLC011_Jimbei,43,2091,806_043_costume_jimbei_nw
12,MPLC012_Newgate,44,2092,806_044_costume_newgate
13,MPLC013_Buggy,45,2093,806_045_costume_buggy
14,MPLC014_Mihawk,46,2094,806_046_costume_mihawk
15,MPLC015_Crocodile,47,2095,806_047_costume_crocodile
